"","genes","logFC","logCPM","F","PValue","log10.pvalue","Significant.Gene","Differential_Gene"
"4346","ENSG00000123200",0.222736506446987,5.8252350821277,1.8923058453182,0.20652098057374,0.685035821564224,"No","No"
"4347","ENSG00000123213",-0.28555446021358,4.70534161660893,1.92005521226538,0.203551158357913,0.691326421818023,"No","No"
"4348","ENSG00000123219",0.385245752247204,3.16063355017609,2.53198774969445,0.150534044382411,0.822365270067519,"No","No"
"4349","ENSG00000123240",-0.0633510232848605,7.26388457494511,0.261068234261282,0.623296502929314,0.205305309756104,"No","No"
"4350","ENSG00000123243",-0.576083944771811,0.939421946813746,1.86869390484962,0.209095057035516,0.679656233693916,"No","No"
"4351","ENSG00000123268",0.26876946627234,4.92095378189322,2.05532124526522,0.189880761017909,0.721519036353213,"No","No"
"4352","ENSG00000123297",0.133292060472302,4.9884721304462,0.427943112756602,0.531498365140944,0.274498067004012,"No","No"
"4353","ENSG00000123329",0.546916633370315,2.85449232862269,2.98245690699709,0.122752147693373,0.910970900645147,"No","No"
"4354","ENSG00000123342",-0.952738437598106,3.85686890062978,19.8722622027967,0.00216047746414888,2.66545025943691,"No","No"
"4355","ENSG00000123349",0.0908634365645546,7.24613497314805,0.596391074548261,0.46233773645183,0.335040657580854,"No","No"
"4356","ENSG00000123352",0.152076979110705,4.83130208119084,0.779262314299161,0.403317442986429,0.394352994880706,"No","No"
"4357","ENSG00000123353",-0.658372823198647,6.19776989873329,22.5521693158471,0.00148025423200225,2.82966368860935,"No","No"
"4358","ENSG00000123358",-0.280914429031149,7.60512347167712,4.73535414902149,0.0615093956635613,1.21105853994536,"No","No"
"4359","ENSG00000123364",0.590065864478208,4.16357140417558,8.57508086505687,0.0192171309811315,1.7163114497616,"No","No"
"4360","ENSG00000123374",-0.334301504197307,5.16595172484333,3.02580225950114,0.120448420870272,0.919198889412609,"No","No"
"4361","ENSG00000123384",-0.109956112946094,9.55427660004357,0.758472275946502,0.409381601307877,0.387871679577804,"No","No"
"4362","ENSG00000123388",0.324293326979086,5.07148791964095,3.61589627864796,0.0940454385690242,1.02666226393437,"No","No"
"4363","ENSG00000123395",0.542497173109125,7.37960019199525,14.8199142561873,0.00495631334427007,2.30484124479282,"No","No"
"4364","ENSG00000123405",-1.01072440783853,-0.134904403164231,3.45013097482467,0.100626924612992,0.997285800131566,"No","No"
"4365","ENSG00000123407",0.725999208169043,4.22044584726842,13.3306919581721,0.00657554871296962,2.18206800054593,"No","No"
"4366","ENSG00000123411",-0.314517970495932,3.36160299120517,1.31966261528135,0.284101553464713,0.54652639155229,"No","No"
"4367","ENSG00000123415",-0.388336960122567,4.9373800886424,5.1284660249976,0.0536004357881759,1.27083167934397,"No","No"
"4368","ENSG00000123416",-0.495542243429584,9.72382912398774,16.7310846845405,0.00354497426245626,2.45038691357367,"No","No"
"4369","ENSG00000123427",0.21528812633342,3.48965495558201,0.751702208963318,0.411388353698443,0.385748007235593,"No","No"
"4370","ENSG00000123444",-0.99604175225413,4.00965649380584,21.4732880105428,0.0017161649198394,2.76544097969556,"No","No"
"4371","ENSG00000123453",0.585738693586242,0.326690516204731,1.21998893755203,0.301727842070223,0.520384613260332,"No","No"
"4372","ENSG00000123472",-0.203628935036898,5.68378168977845,1.18813130499392,0.307699183779748,0.511873655785111,"No","No"
"4373","ENSG00000123473",0.113590170078402,3.85990607218042,0.149167727144922,0.709481970414749,0.149058636498087,"No","No"
"4374","ENSG00000123485",-0.33237509293226,3.46749393532865,1.87587851588258,0.208307174744778,0.681295771346522,"No","No"
"4375","ENSG00000123496",-1.52308906982684,1.10196956222213,9.13846841702148,0.0166421570819909,1.77879038308793,"Yes","Down-Regulated"
"4376","ENSG00000123505",0.216200899054219,7.37662795559179,1.43226084734881,0.265926792009117,0.575237905483187,"No","No"
"4377","ENSG00000123545",-0.00595475251952116,4.72543947372599,0.000954569081684538,0.976115389058008,0.010498840254347,"No","No"
"4378","ENSG00000123552",-0.169514510249525,3.25046724689444,0.198010153713537,0.668220237821967,0.175080375388535,"No","No"
"4379","ENSG00000123562",0.532815381936306,8.46143472488903,12.5995430061884,0.00761451357629521,2.11835783466257,"No","No"
"4380","ENSG00000123572",0.250035173646582,0.9316602192526,0.281411089191677,0.610298452101772,0.214457731541869,"No","No"
"4381","ENSG00000123575",0.196875147103722,5.10345729358599,1.19129118995442,0.307099172336318,0.512721354023406,"No","No"
"4382","ENSG00000123595",-0.199705936919374,4.42771293645649,1.10735403731914,0.323645964232422,0.489929804133513,"No","No"
"4383","ENSG00000123600",0.245815523081489,3.19474966113899,0.629766192076858,0.450518371615856,0.346287494299332,"No","No"
"4384","ENSG00000123607",0.053666107040807,4.53452898808799,0.0582216617617212,0.815447376642234,0.0886040600943396,"No","No"
"4385","ENSG00000123609",-0.251406519988713,3.47914421600131,0.726468141208303,0.419011620332887,0.37777393269845,"No","No"
"4386","ENSG00000123610",-1.4725205489241,4.02908322026363,33.3899900107491,0.000428126710705229,3.36842767580967,"Yes","Down-Regulated"
"4387","ENSG00000123636",-0.220155111227013,4.43454601131016,0.831067475696018,0.388820312592468,0.410251054917601,"No","No"
"4388","ENSG00000123643",-0.137799323690922,6.33256280856603,0.985712390055598,0.350100023853995,0.455807859644399,"No","No"
"4389","ENSG00000123684",-0.0875799804022358,6.27936283478583,0.227514322371208,0.646233124460063,0.189610784787078,"No","No"
"4390","ENSG00000123685",0.759371221101153,3.68494500473139,10.7556844122687,0.0113221793043251,1.94606997166814,"No","No"
"4391","ENSG00000123689",-1.04585846677839,2.92895813141885,10.343192976603,0.0124458906463584,1.9049740191873,"Yes","Down-Regulated"
"4392","ENSG00000123700",-0.791397419558619,4.99111099201518,4.66496015591602,0.0630804177540749,1.20010543919081,"No","No"
"4393","ENSG00000123728",0.117069612081245,5.46634913068459,0.552992259088276,0.478536368438849,0.320085050547321,"No","No"
"4394","ENSG00000123737",0.0926436712526202,2.67450008676934,0.028300999105556,0.870612045012681,0.0601753286254903,"No","No"
"4395","ENSG00000123739",-0.250652055636952,5.30661740289898,2.34030320221845,0.164901195749965,0.782776195139419,"No","No"
"4396","ENSG00000123810",-0.0932787520833102,2.51543080990133,0.100210331402584,0.75974510052018,0.119332091937603,"No","No"
"4397","ENSG00000123815",-0.360156008331216,3.26340253865119,1.59326937199862,0.242694219139985,0.614940568231334,"No","No"
"4398","ENSG00000123836",-0.556635122426047,4.66522144701909,10.534282678078,0.0119086380233597,1.92413790541584,"No","No"
"4399","ENSG00000123892",-0.267412211833329,2.93842147088454,0.760400282050493,0.408813023898561,0.388475276970262,"No","No"
"4400","ENSG00000123908",-0.149531211335446,8.08983930646269,1.75623882313431,0.221981326302304,0.65368355809427,"No","No"
"4401","ENSG00000123933",-0.00584128404306382,6.98147950457044,0.00233898293048655,0.962622072127415,0.0165441845314612,"No","No"
"4402","ENSG00000123975",0.902052373727724,6.51305636942856,37.2918921868172,0.000296965324070175,3.52729425924904,"No","No"
"4403","ENSG00000123983",-0.174084616030543,6.73328273560437,0.926946979783322,0.36407658557423,0.438807250434052,"No","No"
"4404","ENSG00000123989",0.0928685212031269,8.22054918899387,0.633178617471413,0.449339188051261,0.347425703792341,"No","No"
"4405","ENSG00000123992",-0.368343218232755,5.61356781060336,5.6937848635749,0.0443658665649523,1.3529510313162,"No","No"
"4406","ENSG00000124006",-0.0417811369990705,5.95901277696789,0.0774655878339036,0.787877075379247,0.103541535871954,"No","No"
"4407","ENSG00000124067",0.00178672045210165,6.80841265560885,0.000185678398128143,0.989464434775279,0.00459981142062854,"No","No"
"4408","ENSG00000124074",0.287405793164202,4.29897711424844,2.35061873998134,0.164082352232359,0.784938126687648,"No","No"
"4409","ENSG00000124098",-0.73656816397,4.4013064009418,14.1459348062665,0.00561850243705333,2.25037942642264,"No","No"
"4410","ENSG00000124102",-1.35561249383201,6.96649144602432,109.198228312464,6.48924159554793e-06,5.18780605668419,"Yes","Down-Regulated"
"4411","ENSG00000124104",-0.429813285016194,5.05255183458447,6.98905151837316,0.0297538907276325,1.52645623628637,"No","No"
"4412","ENSG00000124107",-1.53310819633679,1.04045049304901,12.231286771576,0.00821613267512419,2.08533255631327,"Yes","Down-Regulated"
"4413","ENSG00000124120",-0.455849266324964,5.88924964975196,9.53214723484423,0.0150977233976471,1.82108853551348,"No","No"
"4414","ENSG00000124126",-0.372595861407866,5.81745021940808,6.34719664608733,0.0360720331983705,1.4428293780047,"No","No"
"4415","ENSG00000124134",0.970514372241755,2.98697440207795,9.98699525834068,0.013531539471737,1.8686527912777,"No","No"
"4416","ENSG00000124140",-1.4172206565026,0.862399011495504,10.5551209460513,0.0118518331474507,1.92621447123616,"Yes","Down-Regulated"
"4417","ENSG00000124145",-0.21546533455711,7.88575467494862,3.944775863344,0.0825573368891595,1.08324432483746,"No","No"
"4418","ENSG00000124151",-0.655675598862187,6.75500207743237,15.688928214542,0.0042405964133057,2.3725730583148,"No","No"
"4419","ENSG00000124155",-0.30501547043181,7.45052940970103,7.6373034377701,0.0247319691449531,1.60674130398883,"No","No"
"4420","ENSG00000124160",0.20209602342977,6.34010570011553,1.91168918118231,0.20444031232959,0.689433464231603,"No","No"
"4421","ENSG00000124164",-0.266128952259388,6.60077911026759,2.76537873319406,0.135206586018728,0.869002153054686,"No","No"
"4422","ENSG00000124171",0.0820609860088662,5.48771871442961,0.249221758959134,0.631168575047169,0.19985463214235,"No","No"
"4423","ENSG00000124172",-0.262892444271186,7.01021947990411,4.87439111650439,0.0585510772017878,1.23246511052349,"No","No"
"4424","ENSG00000124177",0.105022555957959,6.34352837155808,0.296293697564163,0.60117256400439,0.221000847734808,"No","No"
"4425","ENSG00000124181",-0.238564117039588,6.87133495881709,3.98011156308678,0.0814336637444521,1.08919602562464,"No","No"
"4426","ENSG00000124191",-0.24481810119951,5.43621653417919,2.23696429026705,0.173415754603995,0.760911449958019,"No","No"
"4427","ENSG00000124193",-0.0594516085789726,7.45392919191527,0.245425822019646,0.633741347822547,0.19808795683979,"No","No"
"4428","ENSG00000124198",-0.305283739169257,7.47120731495839,5.70290594192443,0.0442342446921608,1.35424138398712,"No","No"
"4429","ENSG00000124201",-0.150157037102596,7.86185557838138,1.12034377480288,0.32099991214442,0.493495086458675,"No","No"
"4430","ENSG00000124207",0.175539949492983,7.20423858189089,0.688953409166064,0.430783424894518,0.365741015251801,"No","No"
