"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMeanCtrl","baseMeansiRNA","symbol","entrez","log10.pvalue","Significant.Gene","Differential_Gene"
"ENSG00000002549",861.596647033735,0.484747529752979,0.214564886004789,0.00461097006406036,0.0535992706599107,890.946031038726,832.247263028745,"LAP3","51056",1.27084111983207,"No","No"
"ENSG00000002586",3278.04348740219,0.17633947838706,0.150902813793103,0.171729819789776,0.476191515117875,3931.76567053282,2624.32130427155,"CD99","4267",0.322218347214036,"No","No"
"ENSG00000002587",4.76906003887198,-0.0226286815676129,0.278860924476162,0.497458019321596,NA,7.93883284808947,1.59928722965449,"HS3ST1","9957",NA,"No","No"
"ENSG00000002726",0.578389706728513,-0.0079107917019085,0.279960090025932,0.65514916251967,NA,0.622468708858549,0.534310704598476,"AOC1","26",NA,"No","No"
"ENSG00000002745",3.39197588010832,-0.00460104158654248,0.27833657705987,0.840799476733751,NA,4.01256704666106,2.77138471355558,"WNT16","51384",NA,"No","No"
"ENSG00000002746",55.8529387057037,0.0525917098102787,0.255606604606455,0.640582762763427,0.854399361771403,69.3592579641698,42.3466194472376,"HECW1","23072",0.0683390847294484,"No","No"
"ENSG00000002822",614.683679783913,0.211838351023549,0.211682942085131,0.165816211568723,0.46844914442117,549.454155159156,679.91320440867,"MAD1L1","8379",0.329337549911908,"No","No"
"ENSG00000002834",5743.56465809874,-0.172259705349728,0.153853743153787,0.181404838544541,0.489474899754552,6314.11242966649,5173.01688653099,"LASP1","3927",0.310269573886556,"No","No"
"ENSG00000002919",206.160223921514,-0.238611347962651,0.262194656046565,0.142354591333642,0.436526255914901,200.205634357205,212.114813485824,"SNX11","29916",0.359989629493285,"No","No"
"ENSG00000002933",56.440605112468,0.459450822602615,0.666234755706159,0.0253462433012307,0.164294956604282,69.2746534605441,43.606556764392,"TMEM176A","55365",0.784375767986413,"No","No"
"ENSG00000003056",2148.27604543318,0.529050520955957,0.177131181342194,0.000526317615130281,0.0107394891880716,1486.39293007042,2810.15916079594,"M6PR","4074",1.96901637488205,"No","No"
"ENSG00000003096",79.2948269696765,-0.0429181925782093,0.243331302175449,0.726487585090821,0.897926435517239,82.276902327823,76.31275161153,"KLHL13","90293",0.0467592423500911,"No","No"
"ENSG00000003137",60.4499925050592,0.235546128357943,0.375037430306164,0.0762958292078846,0.315640754548035,60.4360636202396,60.4639213898787,"CYP26B1","56603",0.50080692709562,"No","No"
"ENSG00000003147",36.7538265501019,-0.200089514233823,0.353618557323703,0.0839065154456709,0.33252838946286,33.0528246853337,40.4548284148701,"ICA1","3382",0.478171271080452,"No","No"
"ENSG00000003249",597.684086860879,-0.186333378976712,0.200030892467464,0.208052509578598,0.522458956620788,648.722639289961,546.645534431798,"DBNDD1","79007",0.281947821223105,"No","No"
"ENSG00000003393",737.080516328922,-0.180740600373999,0.181657738030577,0.202881255257651,0.516832252611578,748.312049463025,725.84898319482,"ALS2","57679",0.28665039227657,"No","No"
"ENSG00000003400",30.1048680034613,0.080426810972992,0.276349643370338,0.40243068440999,0.704981807725461,38.1205494992792,22.0891865076435,"CASP10","843",0.151822089968014,"No","No"
"ENSG00000003402",538.025691698764,0.723208114507812,0.231594337215082,0.000196257634391556,0.0052014172062468,623.854380234824,452.197003162705,"CFLAR","8837",2.28387831001983,"No","No"
"ENSG00000003436",213.515248498102,0.502006510804974,0.324337921804341,0.0169097128418489,0.12806773314885,278.295128275955,148.73536872025,"TFPI","7035",0.892560277597954,"No","No"
"ENSG00000003509",96.9625455238934,-0.132679526446403,0.261601016844133,0.33637046708993,0.650351357278807,109.422883630326,84.5022074174605,"NDUFAF7","55471",0.186851949048992,"No","No"
"ENSG00000003756",1057.75497041818,0.0528526884728069,0.159262405247777,0.690471809534698,0.880571575202514,1012.13011604464,1103.37982479171,"RBM5","10181",0.055235337649987,"No","No"
"ENSG00000003987",7.3073187238662,-0.0428771011168513,0.279590899991101,0.415741549906437,NA,5.46003630730914,9.15460114042325,"MTMR7","9108",NA,"No","No"
"ENSG00000003989",27.3713677725129,0.0554092805871749,0.273333302883681,0.506262617005771,0.779893269900151,32.2210106577874,22.5217248872384,"SLC7A2","6542",0.107964827392826,"No","No"
"ENSG00000004059",1205.59830226229,-0.0293653813640348,0.156351453573695,0.817557295835876,0.933396627692986,1295.63301959953,1115.56358492506,"ARF5","381",0.0299337725284002,"No","No"
"ENSG00000004139",206.322865639739,0.44249650013102,0.335013421195016,0.0290315136371192,0.179107464193021,202.786832131405,209.858899148074,"SARM1","23098",0.746886314819349,"No","No"
"ENSG00000004142",1788.25389159255,0.0626706991300944,0.150362043075062,0.622782076142837,0.845698463313532,1792.36013710848,1784.14764607663,"POLDIP2","26073",0.0727844585479806,"No","No"
"ENSG00000004399",181.650508660979,0.224132312224558,0.269996573174759,0.162103242296513,0.463168048045247,186.194480608155,177.106536713803,"PLXND1","23129",0.334261408339917,"No","No"
"ENSG00000004455",1431.1748102784,-0.00265807757262787,0.149998507632624,0.981887015243815,0.993312726639752,1524.17824703315,1338.17137352366,"AK2","204",0.00291400017307948,"No","No"
"ENSG00000004468",70.5034253083944,2.36651156594187,0.611169847679476,4.75008874251398e-06,0.000204320019255523,101.363641605693,39.6432090110955,"CD38","952",3.68968907915189,"Yes","Up-Regulated"
"ENSG00000004478",4602.34565398239,-0.0896115330978754,0.139903863146696,0.453750940659471,0.740750510769792,3890.57860294771,5314.11270501707,"FKBP4","2288",0.13032804038868,"No","No"
"ENSG00000004487",602.238515895626,-0.0271905904605038,0.183764577765116,0.841824241177663,0.942303833525066,523.932698553995,680.544333237257,"KDM1A","23028",0.0258090420608673,"No","No"
"ENSG00000004534",577.912083034563,-0.0440564838389714,0.176311158528399,0.74700901821785,0.905214281486804,470.930208378516,684.893957690609,"RBM6","10180",0.0432486028370779,"No","No"
"ENSG00000004660",346.635977724202,-0.0317872484498603,0.188869405385083,0.818061020745755,0.933451057748753,292.258154540546,401.013800907859,"CAMKK1","84254",0.0299084478347357,"No","No"
"ENSG00000004700",571.331455990326,-0.149260205787736,0.192829944694512,0.300785747925488,0.618969837996358,533.548420424022,609.114491556631,"RECQL","5965",0.20833051335613,"No","No"
"ENSG00000004766",605.276169804884,-0.0233478663290153,0.192772449061997,0.855711806286369,0.947422623193294,400.71332221689,809.839017392877,"VPS50","55610",0.0234562491091134,"No","No"
"ENSG00000004776",68.510777597849,1.35129804853016,0.646101692240988,0.0011975699067269,0.020215276993923,61.7658747739688,75.2556804217291,"HSPB6","126393",1.69432030349637,"Yes","Up-Regulated"
"ENSG00000004777",77.9272223302161,0.16454435075726,0.289344692821032,0.228581904622679,0.546178538699796,93.5681102659948,62.2863343944374,"ARHGAP33","115703",0.262665368838118,"No","No"
"ENSG00000004779",609.738593041263,0.311880042508543,0.209718382261155,0.0499170961313961,0.251431265270613,545.101652925387,674.375533157139,"NDUFAB1","4706",0.599580719131206,"No","No"
"ENSG00000004799",45.5374407169962,-0.0870663786635643,0.269528503416042,0.428730410980139,0.723438617215666,52.9039260916636,38.1709553423288,"PDK4","5166",0.140598312278799,"No","No"
"ENSG00000004809",12.4086986422256,-0.0368692207574196,0.27504285849561,0.573618453073669,NA,11.5793264158922,13.2380708685589,"SLC22A16","85413",NA,"No","No"
"ENSG00000004838",8.91977911939374,0.00495297427057862,0.273415920331438,0.937184499897464,NA,9.29222810034695,8.54733013844053,"ZMYND10","51364",NA,"No","No"
"ENSG00000004846",1.77344736613372,0.0108461317505656,0.279673455063677,0.52853231526671,NA,2.27861094194409,1.26828379032336,"ABCB5","340273",NA,"No","No"
"ENSG00000004848",12.1763508446142,-0.0377514618598081,0.277375897477735,0.496101817889427,NA,4.23490923480503,20.1177924544233,"ARX","170302",NA,"No","No"
"ENSG00000004864",131.217092242917,-0.151392594529176,0.269136075821962,0.275286581020496,0.594335929118228,112.425545955289,150.008638530544,"SLC25A13","10165",0.225968014742411,"No","No"
"ENSG00000004866",296.042446874493,-0.109286390405649,0.211871356282687,0.449188861213868,0.738646898129525,243.04778666629,349.037107082696,"ST7","7982",0.131563121607513,"No","No"
"ENSG00000004897",920.992062353324,-0.132535386111083,0.184424807596663,0.346600587483546,0.658233166597386,838.491064654478,1003.49306005217,"CDC27","996",0.181620238560437,"No","No"
