Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,baseMeanCtrl,baseMeansiRNA,symbol,entrez,log10.pvalue,Significant.Gene,Differential_Gene
ENSG00000168769,194.0974714,-1.174922983,0.573551031,0.001397022,0.022722322,194.9656117,193.2293311,TET2,54790,1.643547298,Yes,Down-Regulated
ENSG00000168899,366.2173982,1.002707912,0.272827201,1.70E-05,0.000621776,319.9109495,412.5238469,VAMP5,10791,3.206365909,Yes,Up-Regulated
ENSG00000168961,146.1395123,1.965591945,0.420256296,1.19E-07,8.27E-06,190.7687812,101.5102434,LGALS9,3965,5.082624088,Yes,Up-Regulated
ENSG00000168994,416.7392224,-1.017399131,0.303943074,4.85E-05,0.001564168,515.3738594,318.1045854,PXDC1,221749,2.805716638,Yes,Down-Regulated
ENSG00000169136,927.0328255,1.209852346,0.239934631,2.59E-08,2.04E-06,751.6686754,1102.396975,ATF5,22809,5.691335394,Yes,Up-Regulated
ENSG00000169245,916.4807392,2.664987619,0.251198578,6.27E-28,1.11E-24,1327.270274,505.6912045,CXCL10,3627,23.95607716,Yes,Up-Regulated
ENSG00000169248,333.85671,2.261101936,0.296081922,1.05E-15,3.01E-13,440.9143159,226.7991042,CXCL11,6373,12.52169288,Yes,Up-Regulated
ENSG00000169429,912.739436,2.294999709,0.221617955,2.35E-26,3.23E-23,1410.685228,414.7936438,CXCL8,3576,22.49111732,Yes,Up-Regulated
ENSG00000169598,48.49658654,-1.331416257,0.911117538,0.00342141,0.04354362,54.03071434,42.96245874,DFFB,1677,1.361075474,Yes,Down-Regulated
ENSG00000169604,113.1134305,1.235861427,0.444385959,0.000279453,0.00682855,108.0285247,118.1983362,ANTXR1,84168,2.165671491,Yes,Up-Regulated
ENSG00000170271,44.88192481,1.245688059,0.816080184,0.003808504,0.046969016,60.0934724,29.67037722,FAXDC2,10826,1.328188541,Yes,Up-Regulated
ENSG00000170458,61.95925016,1.108585939,0.666783491,0.003618803,0.045261995,72.81988676,51.09861356,CD14,929,1.34426631,Yes,Up-Regulated
ENSG00000170689,43.06760597,-2.134495655,0.786868661,0.000213772,0.005520953,17.5455797,68.58963223,HOXB9,3219,2.257985936,Yes,Down-Regulated
ENSG00000170889,327.194818,2.353080892,1.371541219,0.001602333,0.025102539,249.4860979,404.9035381,RPS9,6203,1.600282349,Yes,Up-Regulated
ENSG00000170989,400.2741201,-1.111479467,0.273540098,3.36E-06,0.000151772,565.605534,234.9427061,S1PR1,1901,3.818809142,Yes,Down-Regulated
ENSG00000171860,43.32104516,1.395503819,0.896713938,0.003258123,0.042088066,65.72964028,20.91245005,C3AR1,719,1.375841027,Yes,Up-Regulated
ENSG00000172183,248.1873105,1.607900398,0.363521509,4.24E-07,2.54E-05,297.1406515,199.2339696,ISG20,3669,4.595041212,Yes,Up-Regulated
ENSG00000172270,492.1306003,1.264378064,0.304864048,2.18E-06,0.000105147,141.5803041,842.6808966,BSG,682,3.978204594,Yes,Up-Regulated
ENSG00000172638,342.3775419,1.438463408,0.304879206,1.30E-07,8.93E-06,405.1427548,279.6123291,EFEMP2,30008,5.049287837,Yes,Up-Regulated
ENSG00000173852,46.09322205,-2.208041846,0.809203463,0.000208611,0.005444605,40.59340732,51.59303678,DPY19L1,23333,2.264033631,Yes,Down-Regulated
ENSG00000173918,789.3237955,1.376602164,0.250936896,2.02E-09,2.03E-07,901.8567347,676.7908563,C1QTNF1,114897,6.693410193,Yes,Up-Regulated
ENSG00000174705,907.3649251,1.031054151,0.237273399,9.49E-07,5.09E-05,1115.958301,698.7715495,SH3PXD2B,285590,4.29288825,Yes,Up-Regulated
ENSG00000174791,192.7158773,1.734640884,0.399568477,5.66E-07,3.22E-05,229.763601,155.6681536,RIN1,9610,4.492382148,Yes,Up-Regulated
ENSG00000174807,1003.926752,2.302619542,0.256963077,7.85E-21,4.04E-18,754.3131854,1253.54032,CD248,57124,17.39403253,Yes,Up-Regulated
ENSG00000175344,60.22216252,-1.27862303,0.726039377,0.002480403,0.034835694,35.29440586,85.14991919,CHRNA7,1139,1.457975528,Yes,Down-Regulated
ENSG00000175445,55.52951146,-1.273113798,0.69306975,0.00229823,0.033067193,47.71572699,63.34329592,LPL,4023,1.480602669,Yes,Down-Regulated
