"","SRR7992451Aligned.sortedByCoord.out_sorted.bam","SRR7992456Aligned.sortedByCoord.out_sorted.bam"
"peak_406",2037,1194
"peak_407",290,157
"peak_408",71,23
"peak_409",100,18
"peak_410",49,3
"peak_411",49,19
"peak_412",66,31
"peak_413",43,12
"peak_414",67,23
"peak_415",75,22
"peak_416",322,232
"peak_417",2294,706
"peak_418",606,236
"peak_419",52,13
"peak_420",111,65
"peak_421",71,32
"peak_422",2472,734
"peak_423",91,57
"peak_424",39,11
"peak_425",366,124
"peak_426",164,100
"peak_427",664,244
"peak_428",566,263
"peak_429",3343,2068
"peak_430",1128,629
"peak_431",158,101
"peak_432",381,162
"peak_433",194,63
"peak_434",233,163
"peak_435",606,356
"peak_436",1063,592
"peak_437",1472,355
"peak_438",314,194
"peak_439",210,124
"peak_440",1635,374
"peak_441",466,133
"peak_442",175,89
"peak_443",148,95
"peak_444",52,19
"peak_445",50,20
"peak_446",460,138
"peak_447",176,114
"peak_448",339,158
"peak_449",114,68
"peak_450",1149,498
"peak_451",113,50
"peak_452",74,41
"peak_453",61,25
"peak_454",139,90
"peak_455",252,179
"peak_456",132,61
"peak_457",797,323
"peak_458",227,148
"peak_459",2518,1104
"peak_460",6172,1792
"peak_461",640,401
"peak_462",1821,904
"peak_463",1029,417
"peak_464",1070,659
"peak_465",1771,911
"peak_466",831,482
"peak_467",108,41
"peak_468",300,117
"peak_469",158,103
"peak_470",472,258
"peak_471",211,127
"peak_472",594,122
"peak_473",358,110
"peak_474",876,370
"peak_475",208,144
"peak_476",2085,901
"peak_477",58913,15193
"peak_478",5370,3039
"peak_479",142,62
"peak_480",1304,291
"peak_481",256,35
"peak_482",314,201
"peak_483",2841,894
"peak_484",2715,730
"peak_485",614,345
"peak_486",1446,544
"peak_487",164,115
"peak_488",171,98
"peak_489",165,46
"peak_490",56,24
"peak_491",236,100
"peak_492",794,518
"peak_493",157,96
"peak_494",66,30
"peak_495",114,21
"peak_496",92,21
"peak_497",400,211
"peak_498",443,240
"peak_499",103,45
"peak_500",85,37
"peak_501",82,48
"peak_502",70,13
"peak_503",219,110
"peak_504",143,46
"peak_505",1334,500
"peak_506",10632,1981
"peak_507",227,126
"peak_508",159,94
"peak_509",77,29
"peak_510",3178,1499
"peak_511",39463,11829
"peak_512",1967,1332
"peak_513",4858,3007
"peak_514",46,12
"peak_515",330,50
"peak_516",120,69
"peak_517",99,28
"peak_518",7886,2247
"peak_519",14593,5536
"peak_520",207,102
"peak_521",120,65
"peak_522",287,127
"peak_523",145,104
"peak_524",195,113
"peak_525",144,86
"peak_526",293,171
"peak_527",1606,541
"peak_528",334,211
"peak_529",370,144
"peak_530",457,200
"peak_531",131,51
"peak_532",134,59
"peak_533",803,185
"peak_534",189,86
"peak_535",192,99
"peak_536",169,101
"peak_537",73,20
"peak_538",299,173
"peak_539",311,135
"peak_540",243,158
"peak_541",6092,3255
"peak_542",61,28
"peak_543",83,36
"peak_544",6301,3163
"peak_545",113,68
"peak_546",211,115
"peak_547",725,336
"peak_548",226,145
"peak_549",1809,383
"peak_550",61,12
"peak_551",154,60
"peak_552",1621,445
"peak_553",225,144
"peak_554",276,122
"peak_555",158,33
"peak_556",87,37
"peak_557",81,42
"peak_558",1019,299
"peak_559",93,53
"peak_560",426,169
"peak_561",940,211
"peak_562",313,73
"peak_563",224,128
"peak_564",174,108
"peak_565",1321,473
"peak_566",1261,381
"peak_567",96,62
"peak_568",1045,398
"peak_569",111,72
"peak_570",66,25
"peak_571",284,97
"peak_572",176,76
"peak_573",323,144
"peak_574",224,137
"peak_575",78,27
"peak_576",91,58
"peak_577",88,53
"peak_578",122,66
"peak_579",292,104
"peak_580",149,81
"peak_581",76,25
"peak_582",180,82
"peak_583",266,66
"peak_584",43,9
"peak_585",560,166
"peak_586",470,137
"peak_587",111,29
"peak_588",187,97
"peak_589",152,85
"peak_590",377,192
"peak_591",88,47
"peak_592",69,25
"peak_593",77,45
"peak_594",123,67
"peak_595",263,151
"peak_596",2409,860
"peak_597",146,29
"peak_598",2293,1140
"peak_599",59,20
"peak_600",1456,513
"peak_601",140,55
"peak_602",123,79
"peak_603",55,24
"peak_604",44,15
"peak_605",115,76
"peak_606",361,189
"peak_607",341,207
"peak_608",130,61
"peak_609",330,186
"peak_610",464,131
"peak_611",352,80
"peak_612",298,150
"peak_613",557,304
"peak_614",111,44
"peak_615",3450,1079
"peak_616",5574,1965
"peak_617",213,126
"peak_618",104,36
"peak_619",88,50
"peak_620",376,132
"peak_621",59,24
"peak_622",57,13
"peak_623",180,80
"peak_624",274,94
"peak_625",800,223
"peak_626",109,56
"peak_627",318,103
"peak_628",382,105
"peak_629",59,26
"peak_630",1916,455
"peak_631",394,186
"peak_632",2377,1305
"peak_633",275,169
"peak_634",53,22
"peak_635",289,86
"peak_636",84,27
"peak_637",158,88
"peak_638",117,53
"peak_639",105,45
"peak_640",1584,885
"peak_641",1571,1037
"peak_642",4061,2137
"peak_643",520,185
"peak_644",119,49
"peak_645",80,37
"peak_646",107,58
"peak_647",16337,7735
"peak_648",8762,4988
"peak_649",856,543
"peak_650",656,241
"peak_651",199,117
"peak_652",62,20
"peak_653",735,234
"peak_654",89,29
"peak_655",71,19
"peak_656",1127,579
"peak_657",1708,557
"peak_658",183,61
"peak_659",460,85
"peak_660",351,87
"peak_661",270,161
"peak_662",203,132
"peak_663",1174,460
"peak_664",122,68
"peak_665",119,63
"peak_666",878,511
"peak_667",1433,936
"peak_668",1994,1234
"peak_669",126,69
"peak_670",69,24
"peak_671",397,99
"peak_672",78,10
"peak_673",97,40
"peak_674",144,59
"peak_675",79,36
"peak_676",262,86
"peak_677",215,74
"peak_678",410,158
"peak_679",589,235
"peak_680",102,35
"peak_681",140,97
"peak_682",54,24
"peak_683",101,63
"peak_684",82,47
"peak_685",2294,621
"peak_686",1325,338
"peak_687",780,514
"peak_688",3565,974
"peak_689",272,138
"peak_690",40,10
"peak_691",61,22
"peak_692",342,159
"peak_693",126,66
"peak_694",392,175
"peak_695",170,102
"peak_696",650,287
"peak_697",287,158
"peak_698",541,246
"peak_699",220,95
"peak_700",467,101
"peak_701",57,19
"peak_702",119,71
"peak_703",361,119
"peak_704",152,80
"peak_705",1018,194
"peak_706",126,68
"peak_707",58,21
"peak_708",83,45
"peak_709",244,121
"peak_710",5164,2672
"peak_711",356,142
"peak_712",183,120
"peak_713",3134,1502
"peak_714",487,286
"peak_715",350,149
"peak_716",833,249
"peak_717",213,88
"peak_718",821,456
"peak_719",187,81
"peak_720",186,63
"peak_721",234,49
"peak_722",38,6
"peak_723",168,45
"peak_724",1530,364
"peak_725",213,144
"peak_726",599,320
"peak_727",1093,464
"peak_728",144,22
"peak_729",497,177
"peak_730",3254,920
"peak_731",752,331
"peak_732",44,6
"peak_733",79,10
"peak_734",139,69
"peak_735",568,172
"peak_736",1255,349
"peak_737",168046,25210
"peak_738",11493,6175
"peak_739",821,197
"peak_740",666,397
"peak_741",305,162
"peak_742",646,229
"peak_743",615,123
"peak_744",277,41
"peak_745",1546,489
"peak_746",1220,292
"peak_747",182,96
"peak_748",709,263
"peak_749",95,26
"peak_750",820,315
"peak_751",107,25
"peak_752",160,98
"peak_753",1449,658
"peak_754",10817,2217
"peak_755",870,363
"peak_756",351,122
"peak_757",197,120
"peak_758",218,114
"peak_759",54,18
"peak_760",3912,1956
"peak_761",122,35
"peak_762",99,51
"peak_763",557,228
"peak_764",45,11
"peak_765",45,13
"peak_766",220,61
"peak_767",120,41
"peak_768",62,26
"peak_769",240,81
"peak_770",362,96
"peak_771",203,107
"peak_772",957,266
"peak_773",160,102
"peak_774",41,9
"peak_775",531,112
"peak_776",6345,3005
"peak_777",1397,878
"peak_778",235,39
"peak_779",73,27
"peak_780",97,31
"peak_781",143,53
"peak_782",1699,903
"peak_783",1015,660
"peak_784",6849,2533
"peak_785",100,38
"peak_786",71,16
"peak_787",77,35
"peak_788",86,39
"peak_789",1322,410
"peak_790",97,56
"peak_791",112,62
"peak_792",578,271
"peak_793",37,9
"peak_794",61,28
"peak_795",69,16
"peak_796",124,37
"peak_797",329,118
"peak_798",45,16
"peak_799",72,34
"peak_800",200,95
"peak_801",402,99
"peak_802",56,17
"peak_803",75,35
"peak_804",193,63
"peak_805",60,25
"peak_806",75,32
"peak_807",85,33
"peak_808",117,59
"peak_809",1226,280
"peak_810",297,103
"peak_811",50,17
"peak_812",717,444
"peak_813",162,83
"peak_814",708,155
"peak_815",274,156
"peak_816",138,42
"peak_817",37,6
"peak_818",117,74
"peak_819",1338,468
"peak_820",1511,595
"peak_821",2103,646
"peak_822",136,82
"peak_823",1047,258
"peak_824",596,189
"peak_825",622,184
"peak_826",637,270
"peak_827",126,49
"peak_828",1321,752
"peak_829",577,368
"peak_830",712,444
"peak_831",2417,1154
"peak_832",55,19
"peak_833",1546,551
"peak_834",67,35
"peak_835",248,83
"peak_836",1298,350
"peak_837",385,226
"peak_838",747,403
"peak_839",3730,924
"peak_840",915,427
"peak_841",271,157
"peak_842",865,521
"peak_843",134,28
"peak_844",484,278
"peak_845",85,40
"peak_846",40,12
"peak_847",4387,2642
"peak_848",2605,1232
"peak_849",36,3
"peak_850",52,6
"peak_851",177,114
"peak_852",90,30
"peak_853",249,55
"peak_854",115,58
"peak_855",2367,1525
"peak_856",11678,4687
"peak_857",1410,651
"peak_858",60,25
"peak_859",105,28
"peak_860",212,61
"peak_861",497,228
"peak_862",241,148
"peak_863",5080,3238
"peak_864",22772,8021
"peak_865",6748,3122
"peak_866",61,26
"peak_867",693,122
"peak_868",644,250
"peak_869",808,529
"peak_870",1232,469
"peak_871",2764,1809
"peak_872",74,40
"peak_873",67,35
"peak_874",692,302
"peak_875",321,207
"peak_876",332,201
"peak_877",69,4
"peak_878",33,6
