"","RPKM.input","RPKM.IP"
"peak_11934",5.57145045926966e-05,5.09112317832116e-05
"peak_11935",8.33336607155719e-06,1.22295663536185e-05
"peak_11936",2.67858195157195e-05,3.66886990608554e-05
"peak_11937",0.000590478510213195,0.000573128813312786
"peak_11938",1.32653582363563e-05,1.49256788654391e-05
"peak_11939",0.000111111547620762,0.000148566583851365
"peak_11940",2.34694799566304e-05,5.05575018216608e-05
"peak_11941",6.21120452538424e-06,9.37403153675102e-06
"peak_11942",3.30358440693874e-05,3.23857034919896e-05
"peak_11943",1.53061825804112e-05,2.97650821304999e-05
"peak_11944",9.12701998313406e-05,6.86466193676361e-05
"peak_11945",3.57144260209594e-05,5.72524884110138e-05
"peak_11946",5.61690518329634e-05,3.79651857846337e-05
"peak_11947",1.62777844229102e-05,1.45122879246375e-05
"peak_11948",7.14288520419187e-06,1.35407284383144e-05
"peak_11949",2.2857232653414e-05,3.13439256174221e-05
"peak_11950",1.58730782315375e-05,1.95270442189463e-05
"peak_11951",1.79223853207369e-06,2.89290904553018e-06
"peak_11952",0.000419644505746273,0.000308456840252377
"peak_11953",0.00012472576471935,0.000124595240115497
"peak_11954",5.95240433682656e-06,7.85107963442172e-06
"peak_11955",2.75511286447401e-05,3.02827357327695e-05
"peak_11956",0.000128571933675454,9.0330553596039e-05
"peak_11957",9.83440716519171e-05,0.000116847171816644
"peak_11958",5.80954663274272e-05,8.84152352676416e-05
"peak_11959",5.00001964293431e-05,7.51891857296542e-05
"peak_11960",0.000188095977043719,0.000256065981922678
"peak_11961",0.000135034544098294,0.000228975443403904
"peak_11962",1.02941580883942e-05,1.97165122040908e-05
"peak_11963",3.94959534820021e-05,3.55962977090071e-05
"peak_11964",5.23811581640737e-05,3.51788760542358e-05
"peak_11965",8.87758589663847e-05,6.0565471465539e-05
"peak_11966",0.00160476820920844,0.00166865638691594
"peak_11967",3.39287047199114e-05,2.40628041679993e-05
"peak_11968",0.000200000785717372,0.000162607937812927
"peak_11969",0.0104643268241411,0.0168962782847789
"peak_11970",1.71909868701944e-07,1.62179302506383e-07
"peak_11971",4.28865105514842e-06,3.61061403729154e-06
"peak_11972",0.000431634348767595,0.00047468835328119
"peak_11973",3.99211733166974e-05,2.83817690186658e-05
"peak_11974",0.000180000707145635,0.000117766194516326
"peak_11975",8.13454222452565e-05,8.44298646152563e-05
"peak_11976",5.527738153462e-05,0.000102031241628472
"peak_11977",2.66784922480549e-05,3.86573457848271e-05
"peak_11978",0.000206522550469026,0.000263103070023096
"peak_11979",8.62072352230054e-06,1.2557562386091e-05
"peak_11980",0.000200000785717372,0.000136246428117349
"peak_11981",0.00028452492730031,0.00022073612356778
"peak_11982",0.00195437275725805,0.00264973937661733
"peak_11983",1.00000392858686e-05,9.20388104835285e-06
"peak_11984",8.57146224503025e-05,0.000149774442256661
"peak_11985",1.9940554528369e-05,3.26121769429825e-05
"peak_11986",5.15576676392797e-05,5.19015848591326e-05
"peak_11987",8.72452407083436e-05,7.55774259313564e-05
"peak_11988",0.000218305570818652,0.000243965773806199
"peak_11989",5.55557738103812e-05,3.77455751654891e-05
"peak_11990",0.000414287341843129,0.000290489946473604
"peak_11991",2.50000982146716e-05,4.80123716105021e-05
"peak_11992",1.66667321431144e-05,3.20082477403347e-05
"peak_11993",0.00178572130104797,0.00216206654547921
"peak_11994",3.73477684268259e-06,2.89249415936319e-06
"peak_11995",4.83498547215154e-05,4.88921024165252e-05
"peak_11996",0.000365715722454624,0.000718192607788793
"peak_11997",3.33334642862287e-06,3.4625274285142e-06
"peak_11998",0.00210000825003241,0.00182356422739511
"peak_11999",9.49632136973486e-05,6.42765690390351e-05
"peak_12000",1.05559879864905e-05,1.24950869513343e-05
"peak_12001",4.76192346946125e-05,4.55966547999108e-05
"peak_12002",0.000164286359696413,0.000211720323328252
"peak_12003",8.12503191976826e-05,0.000115218368192655
"peak_12004",8.03574585471586e-07,1.24560398046114e-06
"peak_12005",0.000378572915822169,0.00067760856537086
"peak_12006",6.40396604513754e-06,6.87229782323387e-06
"peak_12007",3.23530682778103e-05,2.92017532103831e-05
"peak_12008",1.26022941352253e-05,9.44895889628754e-06
"peak_12009",0.000111224926750988,0.000161378510507537
"peak_12010",5.70545193944749e-06,5.16234189673928e-06
"peak_12011",1.22883542768393e-06,1.21843708385313e-06
"peak_12012",0.00109286143624136,0.00187882374943738
"peak_12013",5.02749227833505e-05,3.60266997425683e-05
"peak_12014",1.33734068728369e-06,1.16840890048362e-06
"peak_12015",0.00124286202552939,0.00126341989193925
"peak_12016",7.88822974723798e-05,0.000128715693538245
"peak_12017",6.54764477050922e-06,1.13236725496467e-05
"peak_12018",2.04883482608161e-05,1.40041554237177e-05
"peak_12019",7.34696763859736e-05,5.09888798235521e-05
"peak_12020",0.00091428930613656,0.00103332286573043
"peak_12021",2.46939745630633e-05,1.94637754453356e-05
"peak_12022",0.000142857704083837,0.000106351932586282
"peak_12023",3.86906281893727e-05,3.27631592436445e-05
"peak_12024",0.00101055591809305,0.000998799390117703
"peak_12025",3.12309626685428e-05,2.13027602328833e-05
"peak_12026",5.98216635851069e-05,5.05035795714244e-05
"peak_12027",4.93764933553804e-05,3.52187404038908e-05
"peak_12028",0.000741839649063927,0.00054068918757056
"peak_12029",8.79685362929204e-08,1.31850460731684e-07
"peak_12030",4.76192346946125e-06,1.16759645845246e-05
"peak_12031",1.73371000101744e-06,4.61741987461322e-06
"peak_12032",0.000107143278062878,0.000115954406908382
"peak_12033",2.3476823083249e-07,3.61993960554718e-07
"peak_12034",1.2345652616384e-05,1.26104972372149e-05
"peak_12035",1.01732001393036e-05,8.50991149185571e-06
"peak_12036",3.14500169438299e-05,2.25797410840717e-05
"peak_12037",1.7347006924466e-05,2.8470948124826e-05
"peak_12038",1.02041217202741e-05,2.27767584998608e-05
"peak_12039",0.000660716881387748,0.000567693450488955
"peak_12040",4.86383233748474e-06,3.37066517528394e-06
"peak_12041",0.000164286359696413,0.000126100417512866
"peak_12042",1.57685861366269e-05,2.37374132712496e-05
