"","SRR7992451.sorted.bam","SRR7992456.sorted.bam"
"peak_441",466,135
"peak_442",228,114
"peak_443",148,95
"peak_444",52,19
"peak_445",50,20
"peak_446",438,124
"peak_447",183,120
"peak_448",314,141
"peak_449",104,61
"peak_450",1153,495
"peak_451",113,50
"peak_452",74,41
"peak_453",61,25
"peak_454",139,90
"peak_455",252,179
"peak_456",132,64
"peak_457",61,32
"peak_458",797,323
"peak_459",227,148
"peak_460",2518,1104
"peak_461",6172,1792
"peak_462",640,401
"peak_463",1821,904
"peak_464",1029,417
"peak_465",1070,659
"peak_466",1771,911
"peak_467",831,482
"peak_468",108,41
"peak_469",308,120
"peak_470",213,136
"peak_471",473,259
"peak_472",182,101
"peak_473",594,122
"peak_474",358,110
"peak_475",66,37
"peak_476",877,370
"peak_477",208,144
"peak_478",204,134
"peak_479",2104,929
"peak_480",58922,15197
"peak_481",5360,3035
"peak_482",141,62
"peak_483",1304,291
"peak_484",256,35
"peak_485",314,201
"peak_486",678,261
"peak_487",2832,874
"peak_488",2686,688
"peak_489",607,330
"peak_490",1429,530
"peak_491",163,105
"peak_492",157,85
"peak_493",165,46
"peak_494",56,24
"peak_495",236,100
"peak_496",789,512
"peak_497",157,96
"peak_498",66,30
"peak_499",114,21
"peak_500",44,11
"peak_501",79,18
"peak_502",431,247
"peak_503",148,78
"peak_504",103,44
"peak_505",86,37
"peak_506",82,48
"peak_507",70,13
"peak_508",192,86
"peak_509",179,108
"peak_510",1358,539
"peak_511",10617,1972
"peak_512",232,127
"peak_513",152,91
"peak_514",76,29
"peak_515",3199,1524
"peak_516",39593,12149
"peak_517",4868,3059
"peak_518",46,12
"peak_519",330,50
"peak_520",120,69
"peak_521",99,28
"peak_522",14591,5534
"peak_523",229,131
"peak_524",134,72
"peak_525",7886,2247
"peak_526",289,129
"peak_527",165,116
"peak_528",186,111
"peak_529",210,117
"peak_530",6669,1576
"peak_531",434,260
"peak_532",287,168
"peak_533",1643,547
"peak_534",334,212
"peak_535",370,144
"peak_536",457,200
"peak_537",127,50
"peak_538",134,62
"peak_539",804,187
"peak_540",188,86
"peak_541",177,73
"peak_542",169,101
"peak_543",73,20
"peak_544",299,173
"peak_545",309,130
"peak_546",243,158
"peak_547",6131,3322
"peak_548",61,30
"peak_549",97,40
"peak_550",6286,3101
"peak_551",111,66
"peak_552",211,115
"peak_553",752,381
"peak_554",226,145
"peak_555",1809,383
"peak_556",62,13
"peak_557",154,60
"peak_558",1621,445
"peak_559",225,144
"peak_560",276,122
"peak_561",158,33
"peak_562",40,13
"peak_563",87,37
"peak_564",81,41
"peak_565",1030,309
"peak_566",93,53
"peak_567",426,169
"peak_568",940,211
"peak_569",313,73
"peak_570",224,128
"peak_571",174,108
"peak_572",1321,473
"peak_573",1261,381
"peak_574",96,62
"peak_575",1045,398
"peak_576",111,72
"peak_577",66,25
"peak_578",284,97
"peak_579",176,76
"peak_580",328,153
"peak_581",224,149
"peak_582",45,14
"peak_583",78,27
"peak_584",99,61
"peak_585",93,58
"peak_586",122,66
"peak_587",292,104
"peak_588",149,81
"peak_589",76,25
"peak_590",180,82
"peak_591",266,66
"peak_592",44,9
"peak_593",81,20
"peak_594",560,166
"peak_595",470,137
"peak_596",111,29
"peak_597",189,98
"peak_598",376,200
"peak_599",88,47
"peak_600",69,25
"peak_601",77,45
"peak_602",51,21
"peak_603",118,66
"peak_604",109,53
"peak_605",223,128
"peak_606",2431,874
"peak_607",146,29
"peak_608",2293,1140
"peak_609",59,20
"peak_610",1458,519
"peak_611",137,55
"peak_612",117,76
"peak_613",55,24
"peak_614",44,15
"peak_615",115,76
"peak_616",362,194
"peak_617",348,212
"peak_618",136,63
"peak_619",331,185
"peak_620",464,131
"peak_621",663,281
"peak_622",396,253
"peak_623",569,321
"peak_624",113,54
"peak_625",3450,1079
"peak_626",5574,1965
"peak_627",105,42
"peak_628",107,62
"peak_629",145,67
"peak_630",376,133
"peak_631",57,24
"peak_632",57,13
"peak_633",182,84
"peak_634",274,93
"peak_635",800,220
"peak_636",109,55
"peak_637",318,104
"peak_638",382,105
"peak_639",59,26
"peak_640",2530,1512
"peak_641",275,169
"peak_642",53,22
"peak_643",291,89
"peak_644",84,27
"peak_645",155,88
"peak_646",117,53
"peak_647",105,45
"peak_648",1584,885
"peak_649",1571,1037
"peak_650",4061,2137
"peak_651",520,185
"peak_652",121,50
"peak_653",83,39
"peak_654",16359,7769
"peak_655",8762,4988
"peak_656",856,543
"peak_657",656,241
"peak_658",199,117
"peak_659",62,20
"peak_660",735,234
"peak_661",89,29
"peak_662",71,19
"peak_663",1127,579
"peak_664",1702,553
"peak_665",183,61
"peak_666",459,85
"peak_667",351,88
"peak_668",270,162
"peak_669",198,130
"peak_670",1163,446
"peak_671",128,79
"peak_672",114,62
"peak_673",120,63
"peak_674",67,29
"peak_675",397,99
"peak_676",78,10
"peak_677",68,27
"peak_678",107,71
"peak_679",97,40
"peak_680",144,59
"peak_681",87,38
"peak_682",262,86
"peak_683",215,74
"peak_684",410,158
"peak_685",589,235
"peak_686",103,35
"peak_687",140,97
"peak_688",54,24
"peak_689",114,74
"peak_690",82,49
"peak_691",257,141
"peak_692",2274,554
"peak_693",1314,323
"peak_694",3569,987
"peak_695",272,136
"peak_696",40,10
"peak_697",61,22
"peak_698",340,159
"peak_699",125,66
"peak_700",392,175
"peak_701",168,102
"peak_702",650,286
"peak_703",287,162
"peak_704",541,247
"peak_705",222,99
"peak_706",468,103
"peak_707",57,19
"peak_708",121,77
"peak_709",355,115
"peak_710",145,78
"peak_711",1015,194
"peak_712",124,61
"peak_713",58,21
"peak_714",83,45
"peak_715",244,121
"peak_716",5268,2752
"peak_717",338,127
"peak_718",3141,1503
"peak_719",496,302
"peak_720",351,149
"peak_721",840,250
"peak_722",215,88
"peak_723",810,439
"peak_724",122,34
"peak_725",85,50
"peak_726",186,63
"peak_727",234,49
"peak_728",38,6
"peak_729",174,53
"peak_730",1530,364
"peak_731",211,139
"peak_732",605,324
"peak_733",1094,463
"peak_734",144,22
"peak_735",497,177
"peak_736",3279,933
"peak_737",751,331
"peak_738",44,6
"peak_739",79,10
"peak_740",139,69
"peak_741",569,172
"peak_742",1259,351
"peak_743",168032,25197
"peak_744",11506,6197
"peak_745",821,197
"peak_746",666,397
"peak_747",305,162
"peak_748",646,229
"peak_749",615,123
"peak_750",277,41
