"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMeanCtrl","baseMeanCspr","entrez","log10.pvalue","Significant.Gene","Differential_Gene","label"
"60481",6663.69245683713,-1.0714282176947,0.0865982321176038,1.75047899698087e-35,3.43310503193137e-34,9042.64184405559,4284.74306961867,"ELOVL5",33.4643129096268,"Yes","Down-Regulated","Yes"
"647190",17.8902094606454,-1.44214838674115,0.763620804283062,0.0117693343909398,0.0241384349792558,28.1059084523604,7.67451046893042,"RPS16P5",1.61729089090422,"Yes","Down-Regulated","Yes"
"55227",5.38874674026826,3.46390487112871,3.05066882313741,0.00581682778460785,0.0127687041520967,0,10.7774934805365,"LRRC1",1.89385317541865,"Yes","Up-Regulated","Yes"
"57691",1145.133210638,-1.00685237438802,0.11645502619651,2.63482977804523e-18,2.11749146293762e-17,1533.02708237138,757.239338904611,"KIAA1586",16.6741783319331,"Yes","Down-Regulated","Yes"
"5558",782.895480095987,-1.04287244390852,0.13289159719764,2.05014666929124e-15,1.36934804183153e-14,1057.74184347886,508.049116713113,"PRIM2",13.8634861549074,"Yes","Down-Regulated","Yes"
"23469",3438.44091041963,-1.07795365793104,0.0895550466840235,1.0165859174581e-33,1.83359772927966e-32,4673.25827785453,2203.62354298472,"PHF3",31.736695937541,"Yes","Down-Regulated","Yes"
"441155",489.775350097189,-1.06510646930087,0.16183969538159,2.12696765312312e-11,1.09807570767463e-10,666.130318162183,313.420382032196,"LOC441155",9.95936771608642,"Yes","Down-Regulated","Yes"
"56479",121.48822196536,-1.57647108828228,0.311946476316508,1.06255118747263e-07,4.16934795098945e-07,184.421410884158,58.5550330465614,"KCNQ5",6.37993185951775,"Yes","Down-Regulated","Yes"
"26503",412.917125066927,1.0421847895206,0.175809536431182,1.48776535269338e-09,6.71425762394329e-09,267.145582710506,558.688667423349,"SLC17A5",8.17300199902628,"Yes","Up-Regulated","Yes"
"4646",1035.2388758446,1.45979935692717,0.126000451590065,1.46389694142049e-31,2.34593566359681e-30,548.539353025507,1521.9383986637,"MYO6",29.62968390242,"Yes","Up-Regulated","Yes"
"80078",4.39778232051724,1.94569113945911,3.74721222248404,0.0131818050802113,0.0267256727211809,0,8.79556464103448,"LCAL1",1.57307135420451,"Yes","Up-Regulated","Yes"
"7272",1700.01340589134,-2.09834452696222,0.106935005921957,1.71097101563325e-86,2.29057573111547e-84,2759.71243721372,640.314374568969,"TTK",83.6400553449873,"Yes","Down-Regulated","Yes"
"7162",100.093107281335,2.52215509934376,0.3857394044547,9.06007049481314e-12,4.7992322301598e-11,28.022237004511,172.16397755816,"TPBG",10.3188282344733,"Yes","Up-Regulated","Yes"
"10492",7811.27459945609,-1.33915981070634,0.0823298745044581,5.82351476807758e-60,3.24341181682543e-58,11209.5833124679,4412.96588644426,"SYNCRIP",57.4889979053449,"Yes","Down-Regulated","Yes"
"692088",17.8577430818544,-3.46103069796642,0.907088276915234,1.22957114848064e-05,3.99129164673971e-05,33.3860670505926,2.32941911311618,"SNORD50B",4.39888653682584,"Yes","Down-Regulated","Yes"
"23036",1335.07309069617,-1.08648952728038,0.112544212537085,2.14969684700995e-22,2.15109405016028e-21,1819.78594807299,850.360233319344,"ZNF292",20.6673406009688,"Yes","Down-Regulated","Yes"
"206412",106.487678573315,-1.09740194153135,0.315014014866663,0.000206781576987788,0.000578752124450691,147.905283077863,65.070074068766,"C6orf163",3.23750740178735,"Yes","Down-Regulated","Yes"
"23595",2094.45895539678,-1.93410677090934,0.102938359645658,1.83509764147141e-79,1.92008226040168e-77,3324.29129543383,864.626615359723,"ORC3",76.7166801648,"Yes","Down-Regulated","Yes"
"101928936",5.66901028329428,3.71280115200242,2.93179901894978,0.00456650686078614,0.0102271912798612,0,11.3380205665886,"LOC101928936",1.99024362133595,"Yes","Up-Regulated","Yes"
"135293",113.596340285603,-3.13472328966372,0.334820524293204,9.37817791820748e-22,9.04012731883023e-21,205.038751249459,22.1539293217469,"PM20D2",20.0438254529897,"Yes","Down-Regulated","Yes"
"2569",11.4305697864978,3.81832789982119,1.56535907419783,0.00331407390251809,0.00761368033413717,0.726417888559588,22.134721684436,"GABRR1",2.11840536130608,"Yes","Up-Regulated","Yes"
"22881",23.2285323269843,1.29616037149677,0.689313004442556,0.016013519591998,0.0318232898106145,11.1193921893254,35.3376724646431,"ANKRD6",1.4972549261117,"Yes","Up-Regulated","Yes"
"60468",290.011791265292,1.37433014895036,0.214397678706223,4.71959953049778e-11,2.38067512942544e-10,158.772395583109,421.251186947476,"BACH2",9.62329986504202,"Yes","Up-Regulated","Yes"
"643432",3.61985471320411,1.03010935695807,1.72970116206111,0.025042890150927,0.0473278785018046,0,7.23970942640823,"TSG1",1.32488296258481,"Yes","Up-Regulated","Yes"
"101927288",32.0069716269419,-2.44431343313167,0.604966567445914,6.35423430849416e-06,2.11716132764389e-05,55.4017275683118,8.61221568557197,"MANEA-DT",4.67424604749026,"Yes","Down-Regulated","Yes"
"81491",385.271616360759,-1.78105282489611,0.176849443139774,1.52056197118555e-24,1.70698920452778e-23,598.967717304367,171.57551541715,"GPR63",22.7677692254751,"Yes","Down-Regulated","Yes"
"253714",1129.96192423048,-1.17330413112111,0.118413071451916,1.56783390435879e-23,1.67127062188671e-22,1569.85000548646,690.073842974496,"MMS22L",21.7769532209169,"Yes","Down-Regulated","Yes"
"51805",518.621584196467,-1.10604293761852,0.161490065021372,3.2711657307087e-12,1.78543191085579e-11,711.672786621037,325.570381771896,"COQ3",10.7482567073886,"Yes","Down-Regulated","Yes"
"25957",5545.26916280988,-1.95617372959633,0.08532472304415,3.95436888862747e-117,1.07889198766426e-114,8826.13509607956,2264.4032295402,"PNISR",113.967022032156,"Yes","Down-Regulated","Yes"
"101927365",90.716848572653,-1.8628788585011,0.348029517600627,1.66012536125549e-08,6.9520773336897e-08,144.384755565531,37.0489415797746,"LOC101927365",7.15788540551683,"Yes","Down-Regulated","Yes"
"85015",721.272664429632,-1.18292134687344,0.141357643915706,2.2596018557521e-17,1.71129509483067e-16,1004.29498037477,438.250348484499,"USP45",15.766675094488,"Yes","Down-Regulated","Yes"
"892",1590.89861913388,-1.00789489548555,0.107390065924572,3.12720654703926e-21,2.93954687810223e-20,2129.9841542463,1051.81308402146,"CCNC",19.5317196095559,"Yes","Down-Regulated","Yes"
"389421",2598.09688606048,-1.49651975743491,0.100439042282749,9.48820783496482e-51,3.69817055469859e-49,3842.73312767642,1353.46064444454,"LIN28B",48.4320130636321,"Yes","Down-Regulated","Yes"
"11149",37.8134149447274,1.30656501940444,0.558925078128481,0.00563687635363951,0.0124027391717381,19.3331128244124,56.2937170650424,"BVES",1.90648238937022,"Yes","Up-Regulated","Yes"
"100133941",864.310967986956,2.32262332856536,0.174006190147911,1.92105861170012e-41,5.04119078689967e-40,284.441424963386,1444.18051101053,"CD24",39.2974668661148,"Yes","Up-Regulated","Yes"
"55084",4.10791495883578,1.52634082147489,2.88616942524383,0.0160328941960094,0.0318441763270168,0,8.21582991767156,"SOBP",1.49696997997844,"Yes","Up-Regulated","Yes"
"256380",12.4642909035234,3.99608691710594,1.53671358872744,0.00235781205547591,0.00556995627397278,0.754308371176034,24.1742734358707,"SCML4",2.25414821417041,"Yes","Up-Regulated","Yes"
"28962",989.591207916936,1.540730600297,0.129965176814505,5.61572860478418e-33,9.6217340498822e-32,502.9715247651,1476.21089106877,"OSTM1",31.0167466514103,"Yes","Up-Regulated","Yes"
"285753",915.532030037768,-1.41624979329869,0.131440467197882,1.28199860165334e-27,1.68694736630257e-26,1334.66554453204,496.398515543496,"CEP57L1",25.7728984674292,"Yes","Down-Regulated","Yes"
"100996634",40.2235821656165,-1.20900321870695,0.493122767649071,0.00460336828194074,0.0102990450434867,58.4189610530159,22.028203278217,NA,1.98720304243766,"Yes","Down-Regulated","Yes"
"64780",1425.99838047247,1.14090372780191,0.121567870108527,2.63303894347e-21,2.48152695179503e-20,884.302903052011,1967.69385789292,"MICAL1",19.6052810035808,"Yes","Up-Regulated","Yes"
"9896",381.621598432295,1.88214593007113,0.190503426500128,1.06167252875619e-23,1.13790600123376e-22,160.672744422623,602.570452441966,"FIG4",21.9438936121339,"Yes","Up-Regulated","Yes"
"8528",8.77720780090005,2.21903077113805,1.5003705005317,0.0144833095298496,0.0290853678940071,1.48072625973562,16.0736893420645,"DDO",1.53632543854168,"Yes","Up-Regulated","Yes"
"262",2966.65376530861,-1.32539234637267,0.0927845376414835,9.36770322834966e-47,3.08261794479158e-45,4247.14506618261,1686.16246443461,"AMD1",44.511080297768,"Yes","Down-Regulated","Yes"
"84154",2240.81797658207,-1.91527813573898,0.106357406633598,3.35497449278547e-73,2.86956826259913e-71,3547.2420102348,934.393942929343,"RPF2",70.5421834395988,"Yes","Down-Regulated","Yes"
"2534",888.293208187529,1.08082725782112,0.131947421414408,1.20971563921363e-16,8.74386683018467e-16,566.950814583044,1209.63560179201,"FYN",15.0582964653489,"Yes","Up-Regulated","Yes"
"51175",346.520313741925,-1.755377936706,0.187963243125244,2.20311451237336e-21,2.08180316526503e-20,537.364179870948,155.676447612902,"TUBE1",19.6815603354789,"Yes","Down-Regulated","Yes"
"442247",445.773612079799,-2.13358747933416,0.172926891941456,9.16566755629004e-36,1.83432496293663e-34,728.100227891211,163.446996268387,"RFPL4B",33.7365237236778,"Yes","Down-Regulated","Yes"
"728402",102.944568631415,-1.51087514824532,0.318079356128166,5.23717907637247e-07,1.94322874525964e-06,154.554606005366,51.3345312574641,"TPI1P3",5.71147607384346,"Yes","Down-Regulated","Yes"
"221302",727.547675461444,-1.42321577781336,0.139671665238362,6.82091780251671e-25,7.81595227620655e-24,1063.44035931634,391.654991606547,"ZUP1",23.1070181010604,"Yes","Down-Regulated","Yes"
"101927919",121.861368114299,-2.76864726063615,0.325488987161366,1.75885425145149e-18,1.42788491660209e-17,213.421080120777,30.3016561078213,"LOC101927919",16.8453067940296,"Yes","Down-Regulated","Yes"
"3298",764.7845636049,-1.21598976481681,0.133712532560157,3.65814544039902e-20,3.24743273568206e-19,1072.63277752407,456.936349685733,"HSF2",18.488459835736,"Yes","Down-Regulated","Yes"
"10345",23.5740001806584,-1.12372838713202,0.646841090325089,0.0263127596270809,0.0494426455352313,34.727340897246,12.4206594640708,"TRDN",1.30589829943595,"Yes","Down-Regulated","Yes"
"7164",886.857105043612,-1.37563944311185,0.138765300421804,1.42765039765794e-23,1.52409988465177e-22,1284.46283479517,489.25137529205,"TPD52L1",21.8169865697867,"Yes","Down-Regulated","Yes"
"643623",4.04505193707086,1.41482330555667,2.59924934903549,0.0171105434791412,0.0337204584574755,0,8.09010387414172,"LINC02523",1.47210652941508,"Yes","Up-Regulated","Yes"
"60487",699.621021746551,-1.67826319889787,0.144177428753572,6.34971536760811e-32,1.03448046132597e-30,1069.50524744943,329.736796043674,"TRMT11",29.985277707626,"Yes","Down-Regulated","Yes"
"93663",1163.52682229597,-1.12931880477701,0.119400489810411,1.42559780311842e-21,1.36082086131154e-20,1601.13922497869,725.914419613259,"ARHGAP18",19.8661990416331,"Yes","Down-Regulated","Yes"
"84456",244.309721835302,-1.29550966433774,0.215425718709376,5.99599183931977e-10,2.7901038019149e-09,349.395616332374,139.22382733823,"L3MBTL3",8.55437963910624,"Yes","Down-Regulated","Yes"
"5169",635.785705351177,-2.27940404102735,0.151837373283291,1.02468959298296e-51,4.18298475135506e-50,1056.90512900037,214.666281701985,"ENPP3",49.3785137185928,"Yes","Down-Regulated","Yes"
"79541",34.9118079857697,-1.6222229102901,0.552587819334602,0.000661933532263809,0.00172248163158447,54.6195287145193,15.2040872570201,"OR2A4",2.76384540067958,"Yes","Down-Regulated","Yes"
"643854",16.8030887881635,-3.19416247403351,0.914995275321457,4.62657096556142e-05,0.000140531441081892,31.1510324196809,2.45514515664602,"CTAGE9",3.85222650023736,"Yes","Down-Regulated","Yes"
"8875",18.4012269617134,1.85650256842972,0.878878924565508,0.00516089564843604,0.0114513017095316,5.97868600417538,30.8237679192515,"VNN2",1.94114514274469,"Yes","Up-Regulated","Yes"
"594837",39.8766207788866,-3.17093096980244,0.567642135915424,2.38694472949426e-09,1.06166336565248e-08,72.6392581748948,7.11398338287839,"SNORD101",7.9740131683916,"Yes","Down-Regulated","Yes"
