"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMeanCtrl","baseMeanCspr","entrez"
"105378948",73.6510276119408,0.829425948936398,0.385191004675345,0.0174017133471826,0.0342379305782907,50.2889118657782,97.0131433581034,"LOC105378948"
"401934",2.89513841899746,0.245651118993042,0.865446242814559,0.468365411075133,0.554943498518562,1.50861674235207,4.28166009564285,"RNF223"
"54991",1223.75158949553,0.455882894269903,0.140621396730838,0.00102700794207277,0.00258629853761379,1027.09537042734,1420.40780856372,"C1orf159"
"254099",0.27065972437057,0.0722017918451252,0.895833396062477,0.834965087141037,NA,0,0.54131944874114,"LINC01342"
"406984",0,NA,NA,NA,NA,0,0,"MIR200B"
"406983",0,NA,NA,NA,NA,0,0,"MIR200A"
"554210",0,NA,NA,NA,NA,0,0,"MIR429"
"254173",8.42447741745367,2.12310539164537,1.50636135361078,0.0167232809372478,0.0330539749950885,1.48072625973562,15.3682285751717,"TTLL10"
"8784",2.93360158362224,0.703461388072728,1.24831726152254,0.0484617030921544,0.0839058196199129,0,5.86720316724448,"TNFRSF18"
"7293",7.14976717243588,-0.0242395430695414,0.729731584995702,0.951389583088553,0.963775488738576,7.29206936821232,7.00746497665944,"TNFRSF4"
"51150",5672.93342071035,1.03399503997806,0.0961487228888946,2.71751722846093e-27,3.51791990043525e-26,3709.479152365,7636.38768905569,"SDF4"
"126792",1323.07267186703,2.57795748150156,0.146723713013941,5.40257763809728e-70,4.10025205674468e-68,376.245187726462,2269.9001560076,"B3GALT6"
"388581",55.0447847023944,1.68168795210444,0.490592273327168,0.000127859364471923,0.000367597804698923,23.7474011210028,86.3421682837859,"C1QTNF12"
"118424",2753.94378836574,1.1183657711955,0.106395266418285,3.81114300648397e-26,4.68331678231217e-25,1729.9940960799,3777.89348065159,"UBE2J2"
"6339",276.276217782537,2.84480515571486,0.258176666827227,3.98295857636788e-29,5.64794007598903e-28,65.822592351694,486.72984321338,"SCNN1D"
"116983",3330.44149233723,2.08078417855445,0.119639046388565,1.58271302740666e-68,1.16033321743956e-66,1265.773733752,5395.10925092245,"ACAP3"
"102465434",0,NA,NA,NA,NA,0,0,"MIR6726"
"126789",1008.23685170704,1.71979224164233,0.165506099417317,6.16492101325046e-26,7.46509592806744e-25,464.027659630642,1552.44604378344,"PUSL1"
"54973",6076.19873786557,0.751885932553247,0.0886306904070146,1.58215568229484e-17,1.20842606577544e-16,4518.09640793427,7634.30106779688,"INTS11"
"102465435",5.52931505345471,1.37627487632825,1.82277344512316,0.047432243282756,0.0823682381337836,0.726417888559588,10.3322122183498,"MIR6727"
"80772",1105.26776109433,2.35093186496745,0.175945185045305,1.46934260700454e-41,3.89068925692577e-40,357.611867648525,1852.92365454013,"CPTP"
"83756",88.4843963609702,2.58886737391602,0.409515386726799,3.63562303380949e-11,1.8464236303188e-10,23.6916201557699,153.27717256617,"TAS1R3"
"1855",4532.4611335505,1.83676598239021,0.105609657301323,2.09153226741546e-68,1.52300292202273e-66,1973.44932397517,7091.47294312583,"DVL1"
"102466740",0,NA,NA,NA,NA,0,0,"MIR6808"
"54587",1083.87924569557,1.90396190631848,0.155502678121228,3.57727246018045e-35,6.85983368387272e-34,452.377082931073,1715.38140846006,"MXRA8"
"54998",3443.76010099867,1.80019452492214,0.112428123622163,2.22155229366314e-58,1.16504472354295e-56,1528.22359265869,5359.29660933864,"AURKAIP1"
"81669",6317.59419699462,0.162540490711279,0.0852458184343588,0.0555703828408519,0.0944236524833837,5958.44626519774,6676.7421287915,"CCNL2"
"148413",1297.07584379861,0.604632562996542,0.118752668306892,2.75536240507022e-07,1.048165924442e-06,1026.03173606632,1568.1199515309,"MRPL20-AS1"
"55052",1969.94753936899,0.0720149910572723,0.104727149538561,0.489491558536263,0.575366802240859,1920.19263288726,2019.70244585073,"MRPL20"
"441869",3.64078788986944,0.282300771075813,0.836029688886778,0.473451986717863,0.560302208407006,2.20714414829521,5.07443163144366,"ANKRD65"
"643965",0.720280750378952,-0.00872087858399188,0.871530464923488,0.969678828775915,NA,0.754308371176034,0.686253129581871,"TMEM88B"
"102724312",10.5441943894955,0.305599027048442,0.695738594161437,0.510215206310972,0.594924455332793,8.21372063508703,12.8746681439039,"LINC01770"
"64856",344.96190657064,3.29489589067956,0.278098624000489,2.44361826236433e-33,4.29100836239838e-32,62.0231600131974,627.900653128083,"VWA1"
"219293",128.925481512258,0.97634553480702,0.293534610972153,0.000435570679931158,0.00116523401206853,84.1782729439989,173.672690080518,"ATAD3C"
"83858",3104.01386906929,0.380536875594983,0.100161260295398,0.000131563823629812,0.000377442653336479,2691.65607557164,3516.37166256695,"ATAD3B"
"55210",4855.06525796026,0.87227355394101,0.0911197702221081,5.89435675364399e-22,5.7461314096808e-21,3419.97942732379,6290.15108859673,"ATAD3A"
"339453",20.5281663426341,1.25621997988681,0.764084131816369,0.0259604373507073,0.0488520400434036,9.52710399912398,31.5292286861443,"TMEM240"
"29101",3858.76369256247,0.316501483927856,0.090591033629837,0.000418955265981498,0.00112315445310513,3430.81991468695,4286.70747043799,"SSU72"
"643988",230.458723112566,0.934893875636802,0.260668825002828,0.000174797337021684,0.000493720587362781,154.219920213968,306.697526011164,"FNDC10"
"142678",2557.68452099518,3.36101443017381,0.143998680703391,1.66132555859906e-121,5.11545872714917e-119,450.393062643709,4664.97597934665,"MIB2"
"8510",57.0156019709372,3.65412788191256,0.626201455515243,7.64049934415827e-10,3.53246080789334e-09,7.459412263911,106.571791677963,"MMP23B"
"984",4346.34541769471,-0.0796424893433474,0.0880585850909767,0.363494496504465,0.452092347239309,4466.85036227581,4225.84047311361,"CDK11B"
"728661",6571.8076417966,0.963663508762116,0.0852488853339227,6.67080713624163e-30,9.82121427695027e-29,4443.6049898419,8700.01029375131,"SLC35E2B"
"8511",47.2718774974292,3.67125717645393,0.687442699526782,1.35962716428907e-08,5.73491270040834e-08,5.97868600417538,88.5650689906831,"MMP23A"
"728642",3601.10025357955,-0.0433277840192234,0.0950823236569723,0.645343583921694,0.716929258281365,3655.21460788131,3546.9858992778,"CDK11A"
"9906",3069.4845351911,0.789471645811333,0.0948969233400113,5.65047063667586e-17,4.1623460048842e-16,2243.3560644647,3895.61300591749,"SLC35E2A"
"65220",4958.66883227683,0.729113447573767,0.0882563268572946,1.00778864867054e-16,7.33351672297262e-16,3723.13278245083,6194.20488210283,"NADK"
"2782",13179.0067927924,0.371346899237958,0.0796917419628507,2.89673195182046e-06,9.99458307820365e-06,11480.9213249546,14877.0922606303,"GNB1"
"105378949",27.5163535058092,1.66388350372632,0.668469416997182,0.0025095350368828,0.00590572313407271,11.0636112240925,43.969095787526,"LOC105378949"
"163688",10.2815310106023,1.62056974968115,1.19417870661514,0.0243692433314075,0.0462046684346549,2.96145251947124,17.6016095017334,"CALML6"
"339456",182.491938887137,-0.438007650541209,0.253703155032919,0.0707589692916651,0.116103747268008,211.745120482726,153.238757291549,"TMEM52"
"85452",11.2673032105241,2.80579296014114,1.46630958406604,0.00580091354271136,0.0127415561499644,1.45283577711918,21.0817706439291,"CFAP74"
"2563",0.54131944874114,0.0958412651443515,0.899483816566924,0.663049993788257,NA,0,1.08263889748228,"GABRD"
"5590",179.520475683637,0.782978604067763,0.247092042976593,0.000964483688313701,0.0024425427585376,129.605383450792,229.435567916483,"PRKCZ"
"100506504",86.3443834395703,0.162805926915473,0.321706494107817,0.589394721935153,0.667057069678202,80.7971978447489,91.8915690343916,"PRKCZ-AS1"
"199990",2143.44972382057,2.08965100517936,0.149117461497971,2.27090429914309e-45,7.11439989298404e-44,808.172273187932,3478.7271744532,"FAAP20"
"105378592",38.2510580008342,2.98261725200119,0.658977899045067,8.14281091520974e-07,2.96169670041226e-06,7.43152178129455,69.0705942203737,NA
"6497",3696.27364840886,0.971764967416405,0.130371571705365,5.11144353089348e-14,3.12456193604306e-13,2482.57193900227,4909.97535781545,"SKI"
"105378594",24.7029877805969,0.243292981822087,0.535971792078686,0.575270431043625,0.65401017304258,21.5402569727076,27.8657185884861,NA
"79906",217.839269482997,1.59590045957173,0.237775770842969,4.98126645705079e-12,2.68080442485075e-11,105.885872812405,329.792666153588,"MORN1"
"100129534",37.4102517699902,2.07601466117759,0.592876430002599,7.4624519965821e-05,0.000221032967341391,12.5443374838281,62.2761660561522,"LOC100129534"
"11079",3707.82084533555,0.303604959035396,0.0922451847141829,0.000873805882476553,0.00223136973745319,3313.1364207187,4102.5052699524,"RER1"
"5192",427.546804870874,1.67644824755165,0.177409502228353,8.38583244314775e-22,8.11986668821233e-21,201.267209393579,653.826400348169,"PEX10"
"9651",5.85235923875679,3.70372774360282,2.98210406920815,0.00467633215631863,0.0104536054031624,0,11.7047184775136,"PLCH2"
"55229",1592.45233374053,0.31318489930543,0.107071083077412,0.00322344894911806,0.00742225869707529,1418.03499348016,1766.8696740009,"PANK4"
"388585",0,NA,NA,NA,NA,0,0,"HES5"
"115110",19.8453336623551,1.21487009148858,0.737267539096083,0.0277858390040305,0.0518659369440437,9.61077544697332,30.079891877737,"TNFRSF14-AS1"
"8764",76.2539038906713,1.45345947492121,0.386306258642499,4.71018382132582e-05,0.000142930173285734,38.4431017878933,114.064705993449,"TNFRSF14"
"100996583",2.19581479028533,8.01208227536504e-05,0.820819818526344,0.998050192083793,0.998811381495069,2.20714414829521,2.18448543227545,"LOC100996583"
"127281",658.296366129152,0.862077045448304,0.167415164070279,1.54432371717221e-07,5.98460147427719e-07,462.631870159288,853.960862099015,"PRXL2B"
"79258",10.5888804702403,3.62422184331461,1.59457362457251,0.004530281491558,0.0101555576982882,0.754308371176034,20.4234525693045,"MMEL1"
"100287898",18.3593210616153,1.49343228353792,0.813002250237681,0.0133687076184899,0.0270765950017789,7.43152178129455,29.2871203419361,"TTC34"
"140625",0.27065972437057,0.0722017918451252,0.895833396062477,0.834965087141037,NA,0,0.54131944874114,"ACTRT2"
"440556",0.343126564790935,0.0768885658791727,0.896747987309336,0.786116909621971,NA,0,0.686253129581871,"PRDM16-DT"
"63976",7.0528459004679,1.09360508611539,1.19894162534785,0.0702942413435078,0.115455465817112,2.20714414829521,11.8985476526406,"PRDM16"
"100422968",0,NA,NA,NA,NA,0,0,"MIR4251"
"27237",82.2178946619414,1.02002813407054,0.362096673508935,0.00220399090278662,0.00523988748275567,51.6859666776645,112.749822646218,"ARHGEF16"
"1953",127.064657163065,1.16214511982202,0.306898099957392,6.00630132514576e-05,0.00018010547963577,75.7401631074483,178.389151218683,"MEGF6"
"693135",0.512484047773302,-0.053539695490579,0.885035252078784,0.779547748073721,NA,0.754308371176034,0.27065972437057,"MIR551A"
"127262",864.215299874078,1.0476722282919,0.131188877935989,6.74212931531724e-16,4.65172392004955e-15,560.022586829378,1168.40801291878,"TPRG1L"
"49856",830.552578962759,0.671321791295906,0.133546947443621,3.61485843320518e-07,1.36024194604233e-06,637.299257161795,1023.80590076372,"WRAP73"
"7161",354.745489381973,2.44574769525694,0.234204595845776,2.31495921713732e-26,2.87092238010229e-25,107.535207308371,601.955771455574,"TP73"
"57212",2763.12363833938,0.576021023908828,0.111981367106339,2.06147300414793e-07,7.93162962002935e-07,2210.44666629965,3315.80061037911,"TP73-AS1"
"148870",78.6600694339228,1.23922625408387,0.378033369370267,0.000369410613646969,0.000999156276389354,44.3660068268358,112.95413204101,"CCDC27"
"388588",723.472371535755,2.64585946404934,0.160839934814765,1.18759211747971e-61,7.17012899164083e-60,197.300434159383,1249.64430891213,"SMIM1"
"57470",2959.92906412459,1.00426639624056,0.101929838793538,3.5215706267853e-23,3.68823776918029e-22,1962.57841544832,3957.27971280086,"LRRC47"
