Geneid	LT34	LT35	LT36	LT46	LT47	LT48
ENSG00000007923.15	1051	1535	1517	824	1649	1954
ENSG00000007933.12	0	1	0	0	0	0
ENSG00000007944.14	294	565	371	128	267	293
ENSG00000007952.17	0	0	0	0	0	0
ENSG00000007968.6	165	339	259	139	401	471
ENSG00000008018.8	1005	1519	1279	634	1231	1297
ENSG00000008056.12	110	90	201	37	78	119
ENSG00000008083.13	599	697	681	274	426	481
ENSG00000008086.10	219	285	164	167	166	282
ENSG00000008118.9	1	4	0	0	0	0
ENSG00000008128.22	64	103	119	63	208	172
ENSG00000008130.15	749	1334	1132	532	1247	1466
ENSG00000008196.12	0	0	0	0	1	0
ENSG00000008197.4	0	0	0	0	0	0
ENSG00000008226.19	2	3	1	0	2	0
ENSG00000008256.15	551	795	698	312	510	686
ENSG00000008277.14	16	23	20	18	19	33
ENSG00000008282.7	704	926	838	590	644	761
ENSG00000008283.15	764	935	727	579	820	1051
ENSG00000008294.20	1019	1398	1210	605	1103	1230
ENSG00000008300.14	122	214	294	54	168	244
ENSG00000008311.14	63	90	76	39	30	53
ENSG00000008323.15	141	120	120	82	181	211
ENSG00000008324.10	139	208	152	136	201	231
ENSG00000008382.15	245	257	347	66	175	165
ENSG00000008394.12	251	624	206	259	492	300
ENSG00000008405.11	666	628	672	558	621	985
ENSG00000008438.4	0	0	0	0	0	0
ENSG00000008441.16	1961	2497	1985	1301	2885	2757
ENSG00000008513.14	1555	2014	2193	556	1357	1389
ENSG00000008516.16	13	17	20	26	54	77
ENSG00000008517.16	42	79	46	17	43	50
ENSG00000008710.17	3250	3175	5134	845	1759	2860
ENSG00000008735.13	1087	1510	2220	850	1568	2400
ENSG00000008838.17	946	1445	1371	586	1335	1587
ENSG00000008853.16	500	1094	818	250	951	809
ENSG00000008869.11	304	429	400	284	262	562
ENSG00000008952.16	702	1056	736	928	1131	1171
ENSG00000008988.9	4011	4327	4292	2824	5136	5456
ENSG00000009307.15	4087	4649	3419	2517	3327	4112
ENSG00000009335.17	2374	2480	2343	1078	1428	2086
ENSG00000009413.15	580	781	504	553	504	744
ENSG00000009694.13	0	0	0	0	0	0
ENSG00000009709.11	0	2	0	0	2	1
ENSG00000009724.16	1	0	2	3	2	0
ENSG00000009765.14	6	3	3	1	2	2
ENSG00000009780.15	84	160	108	84	136	127
ENSG00000009790.14	0	0	0	0	0	0
ENSG00000009830.11	407	597	471	267	562	713
ENSG00000009844.15	445	664	502	420	504	571
ENSG00000009950.15	20	26	34	12	30	29
ENSG00000009954.10	1567	2651	1927	1705	2631	2993
ENSG00000010017.12	669	913	693	582	767	914
ENSG00000010030.13	24	169	56	6	84	22
ENSG00000010072.15	188	265	222	182	228	300
ENSG00000010165.19	675	913	873	411	1033	1015
ENSG00000010219.13	67	117	68	50	136	98
ENSG00000010244.16	992	1475	1229	578	856	1093
ENSG00000010256.10	1959	2293	2910	1269	2509	2997
ENSG00000010270.13	345	433	340	247	326	344
ENSG00000010278.11	807	1087	1048	614	679	1015
ENSG00000010282.14	0	0	0	0	0	0
ENSG00000010292.12	999	1199	1208	599	854	1270
ENSG00000010295.19	207	304	276	92	224	272
ENSG00000010310.8	97	79	70	26	44	82
ENSG00000010318.19	58	76	78	67	154	157
ENSG00000010319.6	1	3	2	1	6	4
ENSG00000010322.15	975	1062	1027	466	932	1096
ENSG00000010327.10	0	1	0	0	2	1
ENSG00000010361.13	309	329	449	134	322	329
ENSG00000010379.15	2	1	0	1	1	0
ENSG00000010404.17	651	774	548	308	589	578
ENSG00000010438.16	65	72	51	12	20	22
ENSG00000010539.11	200	272	265	125	213	293
ENSG00000010610.9	1	0	0	0	0	0
ENSG00000010626.14	79	75	57	23	35	43
ENSG00000010671.15	1	0	1	0	0	2
ENSG00000010704.18	18	88	37	7	33	29
ENSG00000010803.16	498	678	577	341	563	739
ENSG00000010810.17	1432	1369	1263	633	779	990
ENSG00000010818.8	654	1180	888	419	885	1161
ENSG00000010932.15	1	0	0	0	0	0
ENSG00000011007.12	989	1351	1253	529	1049	1480
ENSG00000011009.10	922	1257	1333	522	1377	1494
ENSG00000011021.21	350	669	803	196	517	588
ENSG00000011028.13	1140	2555	2113	645	2528	2021
ENSG00000011052.21	21	10	12	24	26	16
ENSG00000011083.8	0	0	1	0	0	0
ENSG00000011105.11	443	702	532	193	551	566
ENSG00000011114.14	537	693	630	382	509	730
ENSG00000011132.11	373	433	490	261	636	608
ENSG00000011143.16	89	110	79	49	72	103
ENSG00000011198.7	307	310	339	181	162	266
ENSG00000011201.10	46	60	77	67	68	113
ENSG00000011243.17	692	998	933	688	1353	1455
ENSG00000011258.15	113	192	153	113	117	154
ENSG00000011260.13	398	589	486	324	538	619
ENSG00000011275.18	635	1011	875	483	1024	1193
ENSG00000011295.15	225	331	250	159	290	308
ENSG00000011304.16	3401	5796	5835	2742	5880	7272
ENSG00000011332.19	94	208	132	134	321	336
ENSG00000011347.9	275	364	400	115	293	324
ENSG00000011376.9	119	238	216	125	260	359
ENSG00000011405.13	1953	1455	1134	1181	719	1211
ENSG00000011422.11	148	428	254	42	426	300
ENSG00000011426.10	156	207	148	139	175	233
ENSG00000011451.17	2540	2963	2769	1428	3268	3749
ENSG00000011454.16	490	702	558	339	522	682
ENSG00000011465.16	881	3796	1291	237	1190	603
ENSG00000011478.11	70	93	64	15	55	56
ENSG00000011485.14	1102	1575	1635	523	1288	1586
ENSG00000011523.13	186	280	253	92	235	270
ENSG00000011566.14	197	363	215	195	254	328
ENSG00000011590.13	2	16	3	0	4	1
ENSG00000011600.11	0	0	0	0	0	0
ENSG00000011638.10	366	400	269	230	300	350
ENSG00000011677.12	1	0	0	0	0	0
ENSG00000012048.19	143	191	145	120	139	185
ENSG00000012061.15	564	833	646	207	531	580
ENSG00000012124.14	0	4	3	0	1	3
ENSG00000012171.17	222	265	283	135	275	289
ENSG00000012174.11	182	291	185	194	256	317
ENSG00000012211.12	326	421	422	168	422	431
ENSG00000012223.12	0	0	0	0	0	0
ENSG00000012232.8	888	1530	1316	512	1016	1186
ENSG00000012504.13	0	0	0	0	0	0
ENSG00000012660.13	1575	1749	1493	1208	1393	1834
ENSG00000012779.10	0	4	1	10	5	10
ENSG00000012817.15	304	559	474	234	498	682
ENSG00000012822.15	877	1048	1024	311	711	807
ENSG00000012963.13	282	418	297	197	329	456
ENSG00000012983.11	633	575	393	400	383	436
ENSG00000013016.14	499	1005	781	116	465	343
ENSG00000013275.7	1839	2569	2509	1101	2368	2559
ENSG00000013288.8	1132	1438	1452	468	1013	1006
ENSG00000013293.5	7	20	30	2	22	9
ENSG00000013297.10	516	845	518	244	938	457
ENSG00000013306.15	1757	2109	1856	886	2153	2302
ENSG00000013364.18	376	1410	697	109	1376	660
ENSG00000013374.15	855	1002	762	412	570	652
ENSG00000013375.15	691	846	735	697	711	1049
ENSG00000013392.7	132	145	128	108	108	164
ENSG00000013441.15	437	377	366	278	330	425
ENSG00000013503.9	237	284	241	142	135	241
ENSG00000013523.9	244	369	330	175	297	418
ENSG00000013561.17	421	663	503	438	474	647
ENSG00000013563.13	360	465	375	152	236	317
ENSG00000013573.16	200	317	354	103	261	379
ENSG00000013583.8	604	559	529	258	386	497
ENSG00000013588.5	1235	1355	1320	498	659	957
ENSG00000013619.13	552	498	491	171	197	323
ENSG00000013725.14	2	2	2	0	1	5
ENSG00000013810.18	118	246	198	178	429	471
ENSG00000014123.9	112	146	127	135	102	154
ENSG00000014138.8	294	502	521	259	517	670
ENSG00000014164.6	415	596	578	238	618	717
ENSG00000014216.15	3980	4880	5181	1845	3650	4641
ENSG00000014257.15	13	20	4	1	13	6
ENSG00000014641.17	1325	1888	1543	812	1247	1573
ENSG00000014824.13	560	604	387	388	450	604
ENSG00000014914.19	34	136	47	7	68	36
ENSG00000014919.12	456	569	559	270	425	541
ENSG00000015133.18	197	205	278	213	324	538
ENSG00000015153.14	198	247	178	230	229	265
ENSG00000015171.18	347	636	408	333	605	581
ENSG00000015285.10	14	6	5	10	20	20
ENSG00000015413.9	1	2	4	2	2	16
ENSG00000015475.18	332	538	361	224	463	480
ENSG00000015479.17	16	1	10	2	5	3
ENSG00000015520.14	1	1	2	0	0	2
ENSG00000015532.9	459	848	780	331	771	914
ENSG00000015568.12	4	2	3	3	4	5
ENSG00000015592.16	1	0	1	0	1	0
ENSG00000015676.17	994	1501	1305	557	1319	1469
ENSG00000016082.14	42	73	51	22	27	46
ENSG00000016391.10	50	91	50	24	67	78
ENSG00000016402.12	6	9	7	8	12	6
ENSG00000016490.15	0	0	0	0	0	0
ENSG00000016602.9	0	0	0	0	0	0
ENSG00000016864.16	192	350	223	213	335	388
ENSG00000017260.19	1029	1411	1183	804	883	1147
ENSG00000017427.15	1	1	3	0	0	1
ENSG00000017483.14	108	176	106	78	263	185
ENSG00000017797.11	498	912	614	367	720	809
ENSG00000018189.12	172	249	186	155	214	232
ENSG00000018236.14	2	8	22	2	2	2
ENSG00000018280.16	7	13	12	3	7	7
ENSG00000018408.14	800	1401	1003	425	1076	977
ENSG00000018510.12	603	716	521	554	518	767
ENSG00000018607.6	0	0	0	0	0	1
ENSG00000018610.13	173	133	136	88	82	153
ENSG00000018625.14	0	5	2	0	0	3
ENSG00000018699.11	345	359	315	248	275	478
ENSG00000018869.16	28	52	50	18	25	41
ENSG00000019102.11	0	1	0	0	0	2
ENSG00000019144.16	636	1138	683	274	892	785
ENSG00000019169.10	0	4	2	0	0	0
ENSG00000019186.9	45	168	79	2	32	22
ENSG00000019485.12	124	277	168	159	372	376
ENSG00000019505.7	10	13	9	8	8	12
ENSG00000019549.8	142	272	150	36	161	100
ENSG00000019582.14	40	189	49	9	112	30
ENSG00000019991.15	3	22	9	0	12	6
ENSG00000019995.6	746	835	647	548	652	863
ENSG00000020129.15	1382	2016	2052	823	1745	2375
ENSG00000020181.17	790	2311	1290	306	1735	1072
ENSG00000020219.9	1	0	0	0	0	0
ENSG00000020256.19	531	738	638	391	632	860
ENSG00000020426.10	130	242	152	160	189	264
ENSG00000020577.13	1998	1851	1787	1102	1527	2008
ENSG00000020633.18	133	167	168	250	331	667
ENSG00000020922.12	197	230	179	147	92	148
ENSG00000021300.13	8	18	22	4	7	2
ENSG00000021355.12	235	291	225	108	157	185
ENSG00000021461.16	0	0	1	0	0	0
ENSG00000021488.12	1	2	1	3	2	3
ENSG00000021574.11	206	340	231	190	200	320
ENSG00000021645.17	15	10	14	10	7	5
